file,toolchain,mode,build_cold_s,build_warm_s,size_bytes,run_s,vm_exit,bin_exit,output_match
examples/mathz.zz,new,default,1.420,0.069,163648,0.015,0,0,yes
examples/mathz.zz,new,p,2.631,0.065,18680,0.013,0,0,yes
examples/json_example.zz,base,default,4.748,0.075,56816,0.014,0,0,yes
examples/json_example.zz,base,p,4.808,0.073,76104,0.013,0,0,yes
examples/json_example.zz,new,default,1.484,0.068,201080,0.015,0,0,yes
examples/json_example.zz,new,p,3.477,0.068,47456,0.014,0,0,yes
examples/elvis.zz,base,default,4.712,0.061,39136,0.014,0,0,yes
examples/elvis.zz,base,p,3.662,0.069,51520,0.014,0,0,yes
examples/elvis.zz,new,default,1.451,0.065,182064,0.014,0,0,yes
examples/elvis.zz,new,p,3.068,0.067,31056,0.013,0,0,yes
examples/built_in.zz,base,default,4.667,0.063,22056,0.014,0,0,yes
examples/built_in.zz,base,p,2.172,0.061,22848,0.012,0,0,yes
examples/built_in.zz,new,default,1.423,0.064,168112,0.014,0,0,yes
examples/built_in.zz,new,p,2.657,0.068,18776,0.012,0,0,yes
examples/dict.zz,base,default,4.733,0.061,43752,0.014,0,0,NO(exit=0)
examples/dict.zz,base,p,4.925,0.063,72016,0.014,0,0,NO(exit=0)
examples/dict.zz,new,default,1.420,0.061,183000,0.014,0,0,NO(exit=0)
examples/dict.zz,new,p,2.964,0.064,26984,0.013,0,0,NO(exit=0)
examples/arrow.zz,base,default,4.628,0.067,39056,0.015,0,0,yes
examples/arrow.zz,base,p,3.547,0.066,31032,0.014,0,0,yes
examples/arrow.zz,new,default,1.431,0.067,177232,0.014,0,0,yes
examples/arrow.zz,new,p,2.942,0.068,26960,0.014,0,0,yes
examples/join.zz,base,default,5.128,0.074,39464,0.015,0,0,yes
examples/join.zz,base,p,3.917,0.064,55616,0.014,0,0,yes
examples/join.zz,new,default,1.444,0.069,182264,0.014,0,0,yes
examples/join.zz,new,p,3.031,0.069,26968,0.013,0,0,yes
examples/multi_string.zz,base,default,4.606,0.063,34808,0.013,0,0,yes
examples/multi_string.zz,base,p,3.387,0.063,26936,0.012,0,0,yes
examples/multi_string.zz,new,default,1.434,0.063,177016,0.013,0,0,yes
examples/multi_string.zz,new,p,2.812,0.061,26960,0.012,0,0,yes
examples/multiline.zz,base,default,4.601,0.062,21856,0.013,0,0,yes
examples/multiline.zz,base,p,2.033,0.067,22832,0.014,0,0,yes
examples/multiline.zz,new,default,1.421,0.062,163760,0.014,0,0,yes
examples/multiline.zz,new,p,2.607,0.064,18760,0.012,0,0,yes
examples/test.zz,base,default,4.612,0.066,39224,0.013,0,0,yes
examples/test.zz,base,p,3.507,0.060,51528,0.014,0,0,yes
examples/test.zz,new,default,2.185,0.063,177424,0.013,0,0,yes
examples/test.zz,new,p,2.918,0.067,26976,0.011,0,0,yes
examples/test-if.zz,base,default,4.558,0.057,34840,0.013,0,0,yes
examples/test-if.zz,base,p,3.312,0.065,26936,0.012,0,0,yes
examples/test-if.zz,new,default,1.336,0.065,177208,0.014,0,0,yes
examples/test-if.zz,new,p,3.452,0.106,26960,0.021,0,0,yes
examples/test-string-compare-blocks.zz,base,default,6.146,0.123,25984,0.017,0,0,NO(exit=0)
examples/test-string-compare-blocks.zz,base,p,2.694,0.090,22840,0.022,0,0,NO(exit=0)
examples/test-string-compare-blocks.zz,new,default,1.794,0.089,168936,0.016,0,0,NO(exit=0)
examples/test-string-compare-blocks.zz,new,p,2.805,0.065,18768,0.021,0,0,NO(exit=0)
examples/test-while-string.zz,base,default,5.227,0.070,34728,0.013,0,0,yes
examples/test-while-string.zz,base,p,3.798,0.061,31032,0.013,0,0,yes
examples/test-while-string.zz,new,default,1.497,0.063,177376,0.014,0,0,yes
examples/test-while-string.zz,new,p,2.831,0.075,26960,0.015,0,0,yes
examples/name.zz,base,default,4.598,0.064,34808,0.013,0,0,yes
examples/name.zz,base,p,3.560,0.064,26936,0.014,0,0,yes
examples/name.zz,new,default,1.449,0.066,177000,0.013,0,0,yes
examples/name.zz,new,p,2.986,0.062,26960,0.012,0,0,yes
examples/names-args.zz,base,default,4.910,0.072,34936,0.033,0,0,yes
examples/names-args.zz,base,p,3.764,0.068,51520,0.013,0,0,yes
examples/names-args.zz,new,default,1.438,0.064,177488,0.014,0,0,yes
examples/names-args.zz,new,p,2.931,0.062,26968,0.012,0,0,yes
examples/selective_imports.zz,base,default,5.105,0.087,38936,0.014,0,0,NO(exit=0)
examples/selective_imports.zz,base,p,3.672,0.085,31032,0.014,0,0,NO(exit=0)
examples/selective_imports.zz,new,default,1.492,0.089,187520,0.015,0,0,NO(exit=0)
examples/selective_imports.zz,new,p,3.281,0.099,43344,0.013,0,0,NO(exit=0)
examples/phase3c_demo.zz,base,default,0.467,0,0,0,0,-1,build-fail
examples/phase3c_demo.zz,base,p,0.459,0,0,0,0,-1,build-fail
examples/phase3c_demo.zz,new,default,0.947,0,0,0,0,-1,build-fail
examples/phase3c_demo.zz,new,p,0.900,0,0,0,0,-1,build-fail
examples/test-fstrings.zz,base,default,4.656,0.065,38992,0.013,0,0,yes
examples/test-fstrings.zz,base,p,3.692,0.073,51520,0.015,0,0,yes
examples/test-fstrings.zz,new,default,1.469,0.064,177480,0.014,0,0,yes
examples/test-fstrings.zz,new,p,2.972,0.065,31056,0.012,0,0,yes
tests/fixtures/syntax/declarations.zz,base,default,4.654,0.082,21856,0.012,0,0,yes
tests/fixtures/syntax/declarations.zz,base,p,2.078,0.064,22840,0.015,0,0,yes
tests/fixtures/syntax/declarations.zz,new,default,1.457,0.063,168144,0.013,0,0,yes
tests/fixtures/syntax/declarations.zz,new,p,2.647,0.063,18768,0.013,0,0,yes
tests/fixtures/syntax/functions.zz,base,default,4.721,0.065,39064,0.012,0,0,yes
tests/fixtures/syntax/functions.zz,base,p,3.721,0.063,31032,0.014,0,0,yes
tests/fixtures/syntax/functions.zz,new,default,1.469,0.065,178112,0.014,0,0,yes
tests/fixtures/syntax/functions.zz,new,p,2.884,0.061,26960,0.013,0,0,yes
tests/fixtures/syntax/control_flow.zz,base,default,4.691,0.064,26304,0.013,0,0,yes
tests/fixtures/syntax/control_flow.zz,base,p,2.385,0.064,26936,0.017,0,0,yes
tests/fixtures/syntax/control_flow.zz,new,default,1.447,0.068,174064,0.017,0,0,yes
tests/fixtures/syntax/control_flow.zz,new,p,2.699,0.067,18768,0.013,0,0,yes
tests/fixtures/syntax/match.zz,base,default,4.668,0.066,30408,0.012,0,0,yes
